,VisitorGroup,PlatformUsed,VisitSource,BrowserName,OSName,State,Gender,IncomeRange,ViewedProductInVisit,ViewedSaleInVisit,TotalPageViews,PlacedSearch,SecondsOnSite,ClickedBanner,b_effective
108630,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,eastern,Female,50to100k,1,1,43,1,5737,1,1
108704,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Female,50to100k,1,1,37,0,1357,1,1
108734,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,eastern,Female,100to250k,1,0,17,1,855,1,1
108784,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Male,100to250k,1,1,64,0,3178,1,1
108992,Prior Visitor,Phone,WebSearch,Safari,iOS,,,,1,0,45,1,1860,1,1
109054,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,eastern,Female,100to250k,1,1,40,1,1439,1,1
109158,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,Mac OS X,eastern,Female,50to100k,1,1,34,0,1474,1,1
109293,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,south_west,Female,100to250k,1,1,64,1,2180,1,1
109387,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,Mac OS X,eastern,Female,Under50k,1,1,10,0,757,1,1
109456,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Male,100to250k,1,1,70,1,4309,1,1
109597,New Visitor,Phone,ThirdPartyAds,Safari,iOS,,,,1,1,69,1,2210,1,1
109678,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,west_coast,Female,50to100k,1,1,32,1,1328,1,1
109680,New Visitor,Web,WebSearch,Chrome,Chrome OS,,Female,,1,1,16,1,607,1,1
109775,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,mid_west,Female,100to250k,1,1,50,1,8205,1,1
109868,New Visitor,Phone,WebSearch,Safari,iOS,,,,1,1,46,0,3644,1,1
110049,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,west_coast,Unknown,50to100k,1,0,60,1,1231,1,1
110216,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Mac OS X,,Unknown,Under50k,1,1,397,1,11542,1,1
110339,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Female,50to100k,1,1,37,0,15606,1,1
110347,Prior Visitor,Phone,ThirdPartyAds,Chrome,Android,,,,1,1,43,0,1388,1,1
110362,Prior Visitor with Purchase,Web,WebSearch,Chrome,Mac OS X,west_coast,Female,100to250k,1,1,48,0,2019,1,1
110383,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,eastern,Female,100to250k,1,1,43,1,2135,1,1
110458,Prior Visitor,Web,WebSearch,Chrome,Windows,west_coast,Female,Under50k,1,1,29,0,4195,1,1
110459,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,mid_west,Female,Under50k,1,1,82,1,1843,1,1
110554,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,eastern,Female,,1,0,20,1,630,1,1
110580,Prior Visitor with Purchase,Web,WebSearch,Microsoft Edge,Windows,eastern,Female,50to100k,1,0,13,0,359,1,1
110586,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,west_coast,Female,Under50k,1,1,15,1,1943,1,1
110635,Prior Visitor with Purchase,Web,WebSearch,Chrome,Mac OS X,,Unknown,,1,1,125,1,12630,1,1
110640,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,eastern,Female,,1,1,27,0,728,1,1
110843,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,eastern,Male,100to250k,1,1,66,1,3881,1,1
111043,Prior Visitor with Purchase,Web,EmailFromWayfair,Microsoft Edge,Windows,eastern,Female,50to100k,1,1,50,0,2157,1,1
111156,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,eastern,Female,50to100k,1,1,59,1,3910,1,1
111188,Prior Visitor with Purchase,Web,ThirdPartyAds,Microsoft Edge,Windows,eastern,Male,100to250k,1,1,19,0,1006,1,1
111260,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,west_coast,Female,50to100k,1,0,31,0,780,1,1
111576,New Visitor,Web,ThirdPartyAds,Safari,iOS,,,,1,1,12,0,827,1,1
111611,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Female,50to100k,1,1,20,0,576,1,1
111881,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,Mac OS X,west_coast,Female,100to250k,1,1,28,1,1837,1,1
111913,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,eastern,Female,100to250k,1,1,116,1,17259,1,1
112074,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,,Unknown,,1,1,21,1,790,1,1
112092,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,west_coast,Female,100to250k,1,0,26,1,12874,1,1
112330,Prior Visitor,Phone,WebSearch,Safari,iOS,mid_west,Male,100to250k,1,0,39,1,6425,1,1
112555,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,west_coast,Male,100to250k,1,1,165,1,7937,1,1
112779,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Chrome OS,eastern,Female,100to250k,1,1,5,0,232,1,1
112955,New Visitor,Phone,WebSearch,Safari,iOS,,,,1,0,74,0,4071,1,1
112987,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,eastern,Female,100to250k,1,1,57,0,4721,1,1
113082,New Visitor,Phone,WebSearch,Safari,iOS,,,,1,1,59,1,2179,1,1
113118,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Female,50to100k,1,1,21,1,2307,1,1
113153,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,eastern,Unknown,Under50k,1,1,32,1,1263,1,1
113452,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,,Unknown,,1,0,11,0,2319,1,1
113673,Prior Visitor,Phone,WebSearch,Safari,iOS,mid_west,Female,50to100k,1,1,101,1,4907,1,1
113941,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,,Unknown,,1,1,41,1,4621,1,1
113945,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,eastern,Female,50to100k,1,0,119,1,13455,1,1
114044,New Visitor,Web,WebSearch,Chrome,Windows,mid_west,Female,100to250k,1,1,58,1,5670,1,1
114093,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,mid_west,Female,,1,1,77,1,14349,1,1
114198,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,eastern,Unknown,Under50k,1,0,55,1,2019,1,1
114317,Prior Visitor,Web,WebSearch,Chrome,Windows,mid_west,Female,100to250k,1,0,27,1,664,1,1
114318,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,south_west,Female,50to100k,1,1,102,0,14877,1,1
114686,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Male,Under50k,1,1,66,0,12792,1,1
114874,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,eastern,Female,100to250k,1,0,22,1,825,1,1
114939,Prior Visitor,Phone,ThirdPartyAds,Safari,iOS,,,,1,1,36,1,1171,1,1
114943,New Visitor,Phone,ThirdPartyAds,Chrome,Android,,,,1,1,22,0,1823,1,1
114997,Prior Visitor,Web,WebSearch,Chrome,Windows,,,,1,1,19,0,11272,1,1
115101,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Mac OS X,,Female,,1,1,39,0,9260,1,1
115167,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,eastern,Male,100to250k,1,1,22,1,1134,1,1
115195,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,eastern,Female,50to100k,1,1,29,0,1455,1,1
115369,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,eastern,Female,100to250k,1,1,43,1,1725,1,1
115419,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,mid_west,Female,50to100k,1,0,50,1,5974,1,1
115441,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,mid_west,Female,50to100k,1,1,64,1,11863,1,1
115479,New Visitor,Phone,WebSearch,Safari,iOS,,,,1,1,55,1,5274,1,1
115811,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,Mac OS X,eastern,Male,100to250k,1,1,40,1,2178,1,1
115986,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,mid_west,Female,50to100k,1,1,142,1,12144,1,1
116231,New Visitor,Web,WebSearch,Microsoft Edge,Windows,,,,1,1,74,1,4779,1,1
116245,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,west_coast,Female,100to250k,1,1,196,1,11742,1,1
116375,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,eastern,Male,50to100k,1,1,27,1,1278,1,1
116716,Prior Visitor,Web,ThirdPartyAds,Safari,iOS,west_coast,Female,100to250k,1,1,8,0,474,1,1
116748,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,west_coast,Female,50to100k,1,0,19,0,649,1,1
116767,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,Mac OS X,south_west,Male,50to100k,1,0,12,1,3381,1,1
116806,New Visitor,Web,ThirdPartyAds,Microsoft Edge,Windows,,,,1,1,7,0,420,1,1
116974,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,west_coast,Female,100to250k,1,1,17,1,1584,1,1
117089,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,eastern,Female,100to250k,1,1,65,1,3714,1,1
117233,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Unknown,50to100k,1,1,62,0,9446,1,1
117519,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,eastern,Female,Under50k,1,1,29,0,2025,1,1
117581,Prior Visitor with Purchase,Web,WebSearch,Chrome,Mac OS X,,Unknown,,1,1,16,0,944,1,1
117618,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,eastern,Female,50to100k,1,0,35,1,1409,1,1
117706,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,eastern,Female,50to100k,1,0,11,1,105,1,1
117740,Prior Visitor,Web,WebSearch,Chrome,Windows,,Unknown,,0,1,21,0,691,1,1
117998,New Visitor,Web,WebSearch,Safari,iOS,eastern,Female,100to250k,1,1,38,1,15308,1,1
118164,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,other_usa,Female,,1,1,15,0,153,1,1
118478,Prior Visitor,Web,EmailFromWayfair,Microsoft Edge,Windows,eastern,Female,50to100k,1,1,104,1,9365,1,1
118489,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,,Unknown,,1,1,8,0,226,1,1
118587,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,west_coast,Female,50to100k,1,1,48,1,4700,1,1
118588,Prior Visitor with Purchase,Web,EmailFromWayfair,Microsoft Edge,Windows,eastern,Female,50to100k,1,0,107,0,4968,1,1
118650,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,,Female,,1,1,104,1,5665,1,1
118853,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Male,100to250k,1,1,93,1,5299,1,1
118906,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,eastern,Male,50to100k,1,1,80,0,2541,1,1
118949,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,eastern,Female,50to100k,1,1,39,0,11822,1,1
119016,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,eastern,Female,100to250k,1,1,39,0,2025,1,1
119074,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,eastern,Female,100to250k,1,1,33,0,1686,1,1
119131,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,iOS,south_west,Female,50to100k,1,1,51,0,8143,1,1
119249,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,eastern,Female,100to250k,1,0,30,1,2894,1,1
119523,New Visitor,Web,ThirdPartyAds,Safari,iOS,,,,1,0,13,0,498,1,1
119688,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,south_west,Female,100to250k,1,1,63,1,1923,1,1
119933,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,eastern,Female,100to250k,1,1,51,0,2213,1,1
120059,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Female,100to250k,1,1,140,1,9344,1,1
120188,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,eastern,Unknown,Under50k,1,1,218,1,7145,1,1
120202,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,south_west,Female,100to250k,1,1,22,0,569,1,1
120214,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,,Unknown,,1,1,32,1,8070,1,1
120235,Prior Visitor,Phone,ThirdPartyAds,Chrome,Android,,,,1,0,17,1,10399,1,1
120248,New Visitor,Web,WebSearch,Safari,iOS,eastern,Male,Under50k,1,1,34,0,865,1,1
120261,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Mac OS X,eastern,Female,50to100k,1,1,138,1,11136,1,1
120520,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,west_coast,Female,50to100k,1,1,46,1,3117,1,1
120594,Prior Visitor,Web,WebSearch,Chrome,Mac OS X,mid_west,Male,50to100k,1,1,50,1,4903,1,1
120698,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,Mac OS X,west_coast,Unknown,50to100k,1,1,40,1,1359,1,1
120750,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Female,50to100k,1,1,7,0,138,1,1
120858,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Unknown,,1,1,17,0,12140,1,1
120859,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,,Unknown,,1,1,77,0,3466,1,1
121008,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,mid_west,Female,50to100k,1,0,48,1,5009,1,1
121084,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Female,100to250k,1,0,18,0,806,1,1
121111,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,south_west,Female,50to100k,1,1,20,0,1645,1,1
121148,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,south_west,Female,100to250k,1,0,21,1,1293,1,1
121721,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Male,50to100k,1,1,9,0,1542,1,1
121905,Prior Visitor,Web,ThirdPartyAds,Safari,Mac OS X,eastern,Female,50to100k,1,1,50,0,3189,1,1
121922,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,eastern,Female,Under50k,1,1,126,1,4457,1,1
121963,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,,Unknown,,1,0,25,0,4414,1,1
122158,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,50to100k,1,1,135,0,3595,1,1
122172,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,eastern,Male,100to250k,1,1,144,1,10741,1,1
122228,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,eastern,Female,100to250k,1,1,226,0,20414,1,1
122288,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,west_coast,Female,Under50k,1,1,6,1,499,1,1
122307,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,eastern,Female,,1,1,63,0,905,1,1
122441,New Visitor,Web,WebSearch,Safari,iOS,,,,1,1,17,1,215,1,1
122487,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,south_west,Female,50to100k,1,1,136,0,17388,1,1
122536,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,south_west,Male,50to100k,1,1,8,0,585,1,1
122575,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,south_west,Female,Under50k,1,1,16,0,11804,1,1
122673,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,west_coast,Female,50to100k,1,1,14,0,210,1,1
123015,Prior Visitor with Purchase,Web,EmailFromWayfair,Microsoft Edge,Windows,west_coast,Female,100to250k,1,1,27,0,769,1,1
123214,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Female,100to250k,1,1,19,1,4297,1,1
123246,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,eastern,Female,100to250k,1,1,203,1,18075,1,1
123477,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,eastern,Female,50to100k,1,1,67,1,1828,1,1
123699,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,50to100k,1,1,14,0,274,1,1
123729,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Female,50to100k,1,1,33,0,1227,1,1
123847,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,west_coast,Unknown,Under50k,1,1,14,1,961,1,1
124021,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,,Unknown,50to100k,1,0,15,0,2417,1,1
124085,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,eastern,Female,50to100k,1,1,77,1,4743,1,1
124155,Prior Visitor,Phone,ThirdPartyAds,Safari,iOS,,,,1,1,30,0,1208,1,1
124167,Prior Visitor,Web,ThirdPartyAds,Chrome,Windows,,,,1,0,10,0,382,1,1
124414,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,eastern,Female,100to250k,1,0,81,1,8829,1,1
124440,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,50to100k,1,1,75,1,3093,1,1
124444,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,south_west,Female,100to250k,1,1,45,1,2398,1,1
124510,New Visitor,Phone,WebSearch,Microsoft Edge,Android,west_coast,Female,Under50k,1,0,42,1,7287,1,1
124633,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,west_coast,Female,100to250k,1,1,147,1,12369,1,1
124676,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Unknown,50to100k,1,1,11,0,545,1,1
124846,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Unknown,50to100k,1,1,154,1,13362,1,1
124849,Prior Visitor,Web,WebSearch,Safari,Mac OS X,eastern,Female,50to100k,1,1,49,1,1941,1,1
124915,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,Mac OS X,eastern,Male,50to100k,1,0,21,1,546,1,1
124916,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,eastern,Unknown,,1,1,11,0,248,1,1
125002,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,eastern,Female,50to100k,1,1,19,1,317,1,1
125012,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,,Unknown,,1,1,135,0,18698,1,1
125113,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Male,Under50k,1,1,256,0,23564,1,1
125176,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,eastern,Female,Under50k,1,1,207,1,6896,1,1
125310,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,Mac OS X,eastern,Unknown,,1,1,29,1,8252,1,1
125379,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,south_west,Female,,1,1,47,1,1002,1,1
125473,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,eastern,Female,50to100k,1,0,110,1,9986,1,1
125558,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,west_coast,Female,100to250k,1,1,8,1,286,1,1
125711,Prior Visitor,Web,EmailFromWayfair,Chrome,Windows,eastern,Female,50to100k,1,1,35,1,2921,1,1
125970,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,eastern,Male,100to250k,0,0,11,0,351,1,1
126256,New Visitor,Web,ThirdPartyAds,Chrome,Windows,,,,1,1,17,0,4282,1,1
126266,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Female,100to250k,1,1,49,0,3716,1,1
126311,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,south_west,Female,Under50k,1,1,33,1,1169,1,1
126339,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,west_coast,Female,100to250k,1,0,4,1,267,1,1
126581,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,west_coast,Female,100to250k,1,1,21,1,1049,1,1
126676,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,100to250k,1,0,15,0,289,1,1
126743,Prior Visitor,Web,WebSearch,Chrome,Mac OS X,,Unknown,,1,1,49,1,12471,1,1
126768,Prior Visitor with Purchase,Web,ThirdPartyAds,Microsoft Edge,Windows,eastern,Female,50to100k,1,1,21,1,1252,1,1
126787,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,west_coast,Female,50to100k,1,1,23,1,469,1,1
127174,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,mid_west,Female,100to250k,1,1,34,0,7190,1,1
127270,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,eastern,Female,100to250k,1,0,66,1,5515,1,1
127588,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,eastern,Female,50to100k,1,0,5,1,9411,1,1
127617,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,100to250k,1,1,31,1,3008,1,1
127683,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,south_west,Male,100to250k,1,1,47,1,1345,1,1
127739,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Male,Under50k,1,0,163,1,4576,1,1
128020,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,eastern,Female,Under50k,1,1,9,0,413,1,1
128172,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,,Unknown,,1,1,63,1,2490,1,1
128422,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Male,50to100k,1,0,58,1,18587,1,1
128451,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,eastern,Female,100to250k,1,0,9,0,283,1,1
128549,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,eastern,Female,50to100k,1,1,42,1,2826,1,1
128619,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,,Unknown,,1,1,16,0,732,1,1
128766,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Unknown,,1,1,41,1,11123,1,1
129040,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,mid_west,Female,50to100k,1,1,34,0,4205,1,1
129072,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,mid_west,Female,100to250k,1,0,14,1,536,1,1
129073,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,eastern,Male,50to100k,1,1,54,1,1553,1,1
129108,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,,Unknown,,1,1,66,0,2767,1,1
129250,Prior Visitor,Phone,ThirdPartyAds,Chrome,Android,,,,1,0,8,1,83,1,1
129334,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,eastern,Female,50to100k,1,0,74,1,4221,1,1
129349,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,south_west,Female,100to250k,1,1,11,0,442,1,1
129442,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,mid_west,Female,100to250k,1,0,17,1,367,1,1
129591,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Female,100to250k,1,1,21,1,2088,1,1
129606,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,south_west,Female,100to250k,1,0,64,1,9004,1,1
129878,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,mid_west,Female,Under50k,1,1,45,0,3059,1,1
129945,Prior Visitor,Phone,WebSearch,Safari,iOS,west_coast,Female,100to250k,1,1,37,0,741,1,1
130002,Prior Visitor with Purchase,Web,ThirdPartyAds,Microsoft Edge,Windows,,Unknown,,1,1,54,1,2639,1,1
130005,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,eastern,Male,100to250k,1,0,14,1,672,1,1
130120,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,eastern,Female,50to100k,1,1,60,1,11190,1,1
130334,New Visitor,Web,WebSearch,Chrome,Windows,,,,1,1,95,1,6909,1,1
130432,New Visitor,Phone,WebSearch,Safari,iOS,,,,1,1,38,0,4346,1,1
130676,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,Under50k,1,1,59,1,13581,1,1
130850,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,west_coast,Male,50to100k,1,1,39,1,2610,1,1
130901,New Visitor,Web,WebSearch,Safari,iOS,,,,1,1,28,1,1368,1,1
130994,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,mid_west,Unknown,,1,1,136,1,7627,1,1
131054,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Male,50to100k,1,1,37,1,5782,1,1
131141,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,,Unknown,,1,1,70,1,3728,1,1
131157,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,Mac OS X,non_usa,Female,,1,1,10,0,526,1,1
131190,New Visitor,Phone,ThirdPartyAds,Safari,iOS,,,,1,1,39,0,377,1,1
131369,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,south_west,Female,50to100k,1,1,34,1,1567,1,1
131400,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,50to100k,1,0,17,1,508,1,1
131563,Prior Visitor,Phone,WebSearch,Safari,iOS,,,,1,1,92,1,1626,1,1
131766,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Female,100to250k,1,0,25,1,970,1,1
131782,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,eastern,Male,,1,0,92,1,13200,1,1
131797,Prior Visitor with Purchase,Web,WebSearch,Microsoft Edge,Windows,eastern,Unknown,50to100k,1,1,19,0,1926,1,1
131872,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,eastern,Female,100to250k,1,1,43,1,11260,1,1
132241,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,mid_west,Female,50to100k,1,1,6,0,208,1,1
132318,Prior Visitor with Purchase,Web,ThirdPartyAds,Microsoft Edge,Windows,eastern,Female,Under50k,1,1,15,0,1030,1,1
132553,Prior Visitor,Web,WebSearch,Chrome,Windows,eastern,Male,100to250k,1,1,89,1,4426,1,1
132816,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,eastern,Female,50to100k,1,1,147,1,4379,1,1
132892,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Unknown,100to250k,1,1,212,1,9248,1,1
133130,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Female,50to100k,1,1,138,0,5519,1,1
133187,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,eastern,Male,Under50k,1,1,47,0,2653,1,1
133393,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,eastern,Female,100to250k,1,1,12,0,1054,1,1
133453,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,,Unknown,,1,1,13,1,920,1,1
